datetime,actual,predicted
2017-01-01 01:00:00,17,35
2017-01-01 02:00:00,12,31
2017-01-01 03:00:00,3,27
2017-01-01 04:00:00,7,22
2017-01-01 05:00:00,12,24
2017-01-01 06:00:00,26,27
2017-01-01 07:00:00,42,38
2017-01-01 08:00:00,88,53
2017-01-01 09:00:00,112,101
2017-01-01 10:00:00,183,126
2017-01-01 11:00:00,210,199
2017-01-01 12:00:00,212,224
2017-01-01 13:00:00,240,227
2017-01-01 14:00:00,182,253
2017-01-01 15:00:00,150,197
2017-01-01 16:00:00,117,165
2017-01-01 17:00:00,161,131
2017-01-01 18:00:00,260,176
2017-01-01 19:00:00,212,271
2017-01-01 20:00:00,111,227
2017-01-01 21:00:00,74,125
2017-01-01 22:00:00,66,86
2017-01-01 23:00:00,54,78
2017-01-02 00:00:00,20,65
2017-01-02 01:00:00,9,33
2017-01-02 02:00:00,3,25
2017-01-02 03:00:00,0,22
2017-01-02 04:00:00,4,20
2017-01-02 05:00:00,7,23
2017-01-02 06:00:00,27,24
2017-01-02 07:00:00,54,39
2017-01-02 08:00:00,117,65
2017-01-02 09:00:00,344,131
2017-01-02 10:00:00,563,346
2017-01-02 11:00:00,681,529
2017-01-02 12:00:00,757,622
2017-01-02 13:00:00,627,686
2017-01-02 14:00:00,564,580
2017-01-02 15:00:00,427,530
2017-01-02 16:00:00,407,416
2017-01-02 17:00:00,445,399
2017-01-02 18:00:00,361,431
2017-01-02 19:00:00,253,361
2017-01-02 20:00:00,208,265
2017-01-02 21:00:00,154,222
2017-01-02 22:00:00,45,170
2017-01-02 23:00:00,13,56
2017-01-03 00:00:00,17,28
2017-01-03 01:00:00,17,31
2017-01-03 02:00:00,3,31
2017-01-03 03:00:00,1,22
2017-01-03 04:00:00,7,21
2017-01-03 05:00:00,9,24
2017-01-03 06:00:00,9,25
2017-01-03 07:00:00,48,25
2017-01-03 08:00:00,107,59
2017-01-03 09:00:00,371,121
2017-01-03 10:00:00,551,369
2017-01-03 11:00:00,764,520
2017-01-03 12:00:00,630,693
2017-01-03 13:00:00,492,582
2017-01-03 14:00:00,589,471
2017-01-03 15:00:00,568,551
2017-01-03 16:00:00,448,534
2017-01-03 17:00:00,521,434
2017-01-03 18:00:00,586,494
2017-01-03 19:00:00,287,548
2017-01-03 20:00:00,253,296
2017-01-03 21:00:00,154,265
2017-01-03 22:00:00,55,169
2017-01-03 23:00:00,32,66
2017-01-04 00:00:00,12,43
2017-01-04 01:00:00,8,27
2017-01-04 02:00:00,6,25
2017-01-04 03:00:00,7,24
2017-01-04 04:00:00,6,24
2017-01-04 05:00:00,22,24
2017-01-04 06:00:00,12,35
2017-01-04 07:00:00,67,27
2017-01-04 08:00:00,138,79
2017-01-04 09:00:00,355,153
2017-01-04 10:00:00,489,356
2017-01-04 11:00:00,557,468
2017-01-04 12:00:00,657,524
2017-01-04 13:00:00,508,603
2017-01-04 14:00:00,493,485
2017-01-04 15:00:00,471,472
2017-01-04 16:00:00,461,453
2017-01-04 17:00:00,472,445
2017-01-04 18:00:00,418,454
2017-01-04 19:00:00,268,409
2017-01-04 20:00:00,191,279
2017-01-04 21:00:00,140,206
2017-01-04 22:00:00,59,155
2017-01-04 23:00:00,29,72
2017-01-05 00:00:00,14,41
2017-01-05 01:00:00,6,29
2017-01-05 02:00:00,0,24
2017-01-05 03:00:00,6,20
2017-01-05 04:00:00,2,24
2017-01-05 05:00:00,11,21
2017-01-05 06:00:00,19,27
2017-01-05 07:00:00,45,32
2017-01-05 08:00:00,159,57
2017-01-05 09:00:00,358,174
2017-01-05 10:00:00,594,358
2017-01-05 11:00:00,654,555
2017-01-05 12:00:00,540,600
2017-01-05 13:00:00,510,511
2017-01-05 14:00:00,465,486
2017-01-05 15:00:00,407,448
2017-01-05 16:00:00,345,399
2017-01-05 17:00:00,305,347
2017-01-05 18:00:00,313,312
2017-01-05 19:00:00,264,319
2017-01-05 20:00:00,216,275
2017-01-05 21:00:00,128,230
2017-01-05 22:00:00,112,142
2017-01-05 23:00:00,59,126
2017-01-06 00:00:00,22,72
2017-01-06 01:00:00,5,35
2017-01-06 02:00:00,2,23
2017-01-06 03:00:00,2,21
2017-01-06 04:00:00,5,21
2017-01-06 05:00:00,14,23
2017-01-06 06:00:00,25,29
2017-01-06 07:00:00,61,37
2017-01-06 08:00:00,126,73
2017-01-06 09:00:00,249,140
2017-01-06 10:00:00,492,261
